Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Genes &amp; Development	6	8	12.889	13.892	2	37
Science (New York)	8	10	31.377	31.777	2	231
Tumori	6	 	1.014	0.983	1	2
Cell	6	10	32.406	34.931	2	67
Bioinformatics	6	 	4.877	6.326	1	18
Neuron	6	6	14.027	14.927	2	130
The Journal of Cell Biology	6	6	9.921	10.123	2	46
Applied and Environmental Microbiology	6	 	3.778	4.529	1	39
The EMBO Journal	6	 	10.124	9.369	1	27
Cell	8	10	32.406	34.931	2	115
Antimicrobial Agents and Chemotherapy	8	 	4.672	4.68	1	29
Hypertension	6	 	6.908	6.949	1	58
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	75
The Journal of Cell Biology	10	 	9.921	10.123	1	47
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	984
Science (New York)	10	8	31.377	31.777	2	209
Development	8	6	6.898	7.476	2	65
The American Naturalist	6	 	4.736	5.385	1	25
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	97
Proceedings of the National Academy of Sciences of the United States of America	6	8	9.771	10.591	2	20
Nature Chemical Biology	8	6	15.808	16.321	2	295
The EMBO Journal	6	 	10.124	9.369	1	65
The American Journal of Psychiatry	8	 	12.759	11.865	1	35
Science (New York)	6	6	31.377	31.777	2	210
Nature Medicine	10	6	25.43	27.887	2	257
Nature	6	 	36.104	35.248	1	217
Pediatric Research	6	 	2.803	2.871	1	4
The Journal of Biological Chemistry	6	 	5.328	5.498	1	75
The EMBO Journal	6	 	10.124	9.369	1	56
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	45
Nature	8	 	36.104	35.248	1	138
Mycological Research	6	 	2.259	2.586	1	7
Science (New York)	8	6	31.377	31.777	2	125
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	25
The EMBO Journal	8	 	10.124	9.369	1	51
Science (New York)	6	8	31.377	31.777	2	87
Cell	8	8	32.406	34.931	2	460
Nature	8	8	36.104	35.248	2	352
Neuron	6	 	14.027	14.927	1	57
PLoS Medicine	10	 	15.617	14.974	1	917
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	589
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	37
The New England Journal of Medicine	6	 	53.486	52.363	1	138
Biology of Reproduction	6	 	3.87	3.979	1	58
Biology of Reproduction	6	 	3.87	3.979	1	49
Chemico-Biological Interactions	6	 	2.832	3.31	1	62
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	152
Spine	6	 	2.51	3.338	1	165
The New England Journal of Medicine	8	 	53.486	52.363	1	158
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	33
Clinical Infectious Diseases	6	 	8.186	7.898	1	57
Neuron	6	 	14.027	14.927	1	47
The Journal of Allergy and Clinical Immunology	6	 	9.273	8.691	1	70
Nature Neuroscience	6	6	14.191	16.19	2	134
Current Biology	8	6	10.026	11.436	2	54
Biological Psychiatry	6	8	8.674	9.441	2	505
Dermatologic Surgery	6	 	2.264	2.778	1	11
Journal of Immunology	6	 	5.745	5.909	1	53
Nature Neuroscience	8	8	14.191	16.19	2	49
The Journal of Experimental Medicine	6	6	14.776	15.7	2	287
Evolution &amp; Development	6	6	3.075	3.292	2	22
Evolution &amp; Development	8	 	3.075	3.292	1	29
Nature Methods	6	 	20.721	19.286	1	86
Science (New York)	8	8	31.377	31.777	2	107
Journal of Clinical Microbiology	8	8	4.22	4.258	2	88
The Journal of Clinical Endocrinology and Metabolism	6	 	6.495	6.438	1	78
The Journal of Experimental Biology	6	8	3.04	3.424	2	37
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	143
Molecular Cell	8	8	14.194	14.447	2	152
Eukaryotic Cell	6	 	3.395	3.637	1	44
Proceedings of the National Academy of Sciences of the United States of America	10	10	9.771	10.591	2	32
International Journal of Epidemiology	6	 	5.759	6.404	1	49
Chest	6	 	6.519	5.627	1	46
Nature	8	10	36.104	35.248	2	467
The Journal of Comparative Neurology	10	 	3.774	4.043	1	6
Journal of Neurophysiology	6	 	3.114	3.686	1	45
Science (New York)	8	6	31.377	31.777	2	299
