Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	24
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	104
Developmental Cell	8	6	13.946	14.24	2	57
Scandinavian Journal of Infectious Diseases	6	 	1.562	1.688	1	19
Cell	8	10	32.406	34.931	2	157
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	49
Journal of Immunology	6	 	5.745	5.909	1	37
The Journal of Neuroscience	6	 	7.271	8.068	1	72
Nature Chemical Biology	8	6	15.808	16.321	2	126
The Journal of Urology	6	 	3.862	3.949	1	8
Science (New York)	8	6	31.377	31.777	2	249
Nature Genetics	10	 	36.377	32.701	1	67
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	124
The Journal of Biological Chemistry	6	 	5.328	5.498	1	37
Immunity	6	 	24.221	22.133	1	22
Nature Immunology	6	6	25.668	25.934	2	572
The Journal of Biological Chemistry	8	 	5.328	5.498	1	62
Proceedings of the National Academy of Sciences of the United States of America	10	 	9.771	10.591	1	73
Proceedings of the National Academy of Sciences of the United States of America	10	 	9.771	10.591	1	133
Nature	10	 	36.104	35.248	1	1185
Cell	8	 	32.406	34.931	1	110
Nature Cell Biology	8	6	19.407	19.578	2	110
Journal of Immunology	6	6	5.745	5.909	2	12
Journal of Cell Science	6	6	6.29	6.731	2	71
Development	6	 	6.898	7.476	1	68
The Plant Cell	6	6	9.396	10.648	2	40
Science (New York)	8	 	31.377	31.777	1	237
Development	8	 	6.898	7.476	1	31
Cell	6	8	32.406	34.931	2	73
Science (New York)	8	10	31.377	31.777	2	124
Journal of Theoretical Biology	6	 	2.371	2.491	1	5
Nature Medicine	8	6	25.43	27.887	2	121
International Journal of Pharmaceutics	6	 	3.607	3.853	1	35
Ecology Letters	6	 	15.253	14.261	1	108
Nature Chemical Biology	6	 	15.808	16.321	1	17
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	20
Genes &amp; Development	6	 	12.889	13.892	1	58
Nature Biotechnology	6	 	31.09	29.065	1	244
BMC Plant Biology	6	 	4.085	4.324	1	19
Proceedings of the National Academy of Sciences of the United States of America	8	6	9.771	10.591	2	231
Nature	8	8	36.104	35.248	2	104
Science (New York)	10	6	31.377	31.777	2	92
Cell	8	 	32.406	34.931	1	90
Journal of the American Chemical Society	6	6	9.023	8.981	2	41
American Journal of Human Genetics	6	 	11.68	12.265	1	110
Journal of Cardiac Failure	8	 	3.362	3.595	1	32
Cancer Cell	10	8	26.925	28.438	2	240
Biochemical and Biophysical Research Communications	6	 	2.595	2.72	1	14
Nature Structural &amp; Molecular Biology	6	6	13.685	12.481	2	89
Molecular Cell	6	6	14.194	14.447	2	23
Nature Genetics	6	6	36.377	32.701	2	242
Genes &amp; Development	6	 	12.889	13.892	1	39
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	52
Cell Stress &amp; Chaperones	6	 	3.162	3.54	1	37
Diabetologia	8	 	6.973	6.227	1	30
American Journal of Physiology. Renal Physiology	6	 	3.792	3.835	1	42
The American Journal of Pathology	6	 	5.224	5.971	1	56
Cell	10	10	32.406	34.931	2	177
Genetics	6	6	4.087	4.311	2	8
Biochemistry	6	 	3.226	3.15	1	67
Blood	8	 	10.558	10.075	1	156
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	49
Evolution; International Journal of Organic Evolution	6	 	5.659	6.041	1	68
The American Naturalist	6	 	4.736	5.385	1	36
Nature	6	 	36.104	35.248	1	24
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	59
Science (New York)	8	6	31.377	31.777	2	369
Genes &amp; Development	6	 	12.889	13.892	1	21
Cell	6	6	32.406	34.931	2	153
Cell	8	 	32.406	34.931	1	327
Nature Cell Biology	6	6	19.407	19.578	2	86
Science (New York)	6	8	31.377	31.777	2	121
The Journal of Cell Biology	6	 	9.921	10.123	1	96
Neuron	8	8	14.027	14.927	2	97
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	54
The Journal of Experimental Medicine	6	 	14.776	15.7	1	38
Science (New York)	6	10	31.377	31.777	2	341
PLoS Pathogens	8	 	9.079	9.675	1	28
Science (New York)	8	6	31.377	31.777	2	96
Nature	10	8	36.104	35.248	2	173
Journal of Immunology	6	 	5.745	5.909	1	41
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	68
Journal of Virology	6	6	5.189	5.257	2	16
Nature	8	8	36.104	35.248	2	41
The Plant Cell	6	8	9.396	10.648	2	60
Nature Cell Biology	10	8	19.407	19.578	2	131
Science (New York)	10	10	31.377	31.777	2	216
Structure	10	 	6.337	5.859	1	13
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	127
Nature	8	6	36.104	35.248	2	372
Nature Genetics	8	6	36.377	32.701	2	143
Science (New York)	8	6	31.377	31.777	2	142
Molecular Cell	6	 	14.194	14.447	1	203
Antimicrobial Agents and Chemotherapy	6	 	4.672	4.68	1	10
Molecular and Cellular Biology	6	 	6.188	6.381	1	37
Journal of the American Academy of Dermatology	8	 	4.274	4.161	1	108
The American Journal of Cardiology	6	 	3.681	3.767	1	6
Ecological Applications	6	 	4.276	5.067	1	14
Experimental &amp; Molecular Medicine	6	 	2.453	2.542	1	17
Nature	8	8	36.104	35.248	2	139
American Journal of Neuroradiology	6	 	3.464	3.413	1	19
Science (New York)	6	8	31.377	31.777	2	86
The Plant Journal: for Cell and Molecular Biology	8	6	6.948	7.325	2	117
Nature Genetics	6	8	36.377	32.701	2	192
Science (New York)	6	8	31.377	31.777	2	41
AIDS	6	 	6.348	5.833	1	155
The Journal of Cell Biology	6	 	9.921	10.123	1	28
American Journal of Respiratory and Critical Care Medicine	8	 	10.191	10.019	1	24
Hypertension	8	 	6.908	6.949	1	70
Organic Letters	6	 	5.25	4.962	1	6
Proceedings of the National Academy of Sciences of the United States of America	8	10	9.771	10.591	2	108
Circulation Research	6	 	9.504	10.19	1	124
Journal of Mathematical Biology	6	 	3.021	2.377	1	18
Limnology and oceanography	6	 	3.385	4.004	1	38
Science (New York)	10	6	31.377	31.777	2	501
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	49
Genome Biology	6	 	6.885	7.354	1	150
BMC Plant Biology	6	 	4.085	4.324	1	39
Science (New York)	10	6	31.377	31.777	2	202
Cell	6	8	32.406	34.931	2	124
The Journal of Clinical Endocrinology and Metabolism	8	 	6.495	6.438	1	37
Aging Cell	6	 	7.148	7.978	1	58
Nature Chemical Biology	8	8	15.808	16.321	2	86
Archives of General Psychiatry	8	 	10.782	15.618	1	39
Science (New York)	8	 	31.377	31.777	1	41
Journal of the American Academy of Dermatology	6	 	4.274	4.161	1	18
The American Naturalist	6	6	4.736	5.385	2	103
Plant Physiology	6	 	6.451	7.016	1	39
The Journal of Biological Chemistry	6	 	5.328	5.498	1	52
Proceedings of the National Academy of Sciences of the United States of America	10	 	9.771	10.591	1	67
Hepatology Research	6	 	1.857	1.858	1	16
PLoS Medicine	6	 	15.617	14.974	1	201
Journal of Hepatology	6	 	9.334	7.404	1	39
American Journal of Human Genetics	6	 	11.68	12.265	1	217
The Journal of Experimental Medicine	6	 	14.776	15.7	1	87
Molecular and Cellular Biology	6	 	6.188	6.381	1	155
Cell	8	 	32.406	34.931	1	90
The Journal of Cell Biology	6	 	9.921	10.123	1	42
Clinical Therapeutics	6	 	2.551	3.06	1	13
Science (New York)	8	 	31.377	31.777	1	17
The Journal of Cell Biology	6	 	9.921	10.123	1	47
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	64
The Journal of Biological Chemistry	6	 	5.328	5.498	1	73
Nature Medicine	6	 	25.43	27.887	1	323
Nature Immunology	6	6	25.668	25.934	2	4
Infection and Immunity	6	 	4.098	4.091	1	7
Molecular Cell	6	 	14.194	14.447	1	52
The Journal of Endocrinology	6	 	3.099	3.169	1	23
Molecular Cell	6	 	14.194	14.447	1	95
The Journal of Neuroscience	8	 	7.271	8.068	1	22
Neuron	8	 	14.027	14.927	1	154
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	45
The Plant Journal: for Cell and Molecular Biology	6	 	6.948	7.325	1	44
The EMBO Journal	6	 	10.124	9.369	1	45
Structure	6	 	6.337	5.859	1	14
The Journal of Biological Chemistry	6	 	5.328	5.498	1	132
Nature	8	 	36.104	35.248	1	87
The Plant Cell	6	 	9.396	10.648	1	57
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	86
Nature	8	8	36.104	35.248	2	86
Chemistry &amp; Biology	6	 	5.838	5.976	1	64
Structure	6	 	6.337	5.859	1	26
Journal of Immunology	6	 	5.745	5.909	1	22
Journal of the American Chemical Society	10	 	9.023	8.981	1	34
Current Biology	6	 	10.026	11.436	1	3
Nature Genetics	8	 	36.377	32.701	1	121
The Journal of Cell Biology	6	8	9.921	10.123	2	57
Nature	8	8	36.104	35.248	2	94
Ecology	6	 	5.073	6.218	1	11
PLoS Pathogens	8	 	9.079	9.675	1	12
The Journal of Cell Biology	6	 	9.921	10.123	1	116
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	45
The Journal of Cell Biology	8	6	9.921	10.123	2	400
Nucleic Acids Research	6	 	7.836	7.314	1	19
Biochemical and Biophysical Research Communications	6	 	2.595	2.72	1	43
Journal of the American Academy of Dermatology	6	 	4.274	4.161	1	2
Experimental Brain Research	6	 	2.296	2.4	1	8
Ecology	8	 	5.073	6.218	1	24
Nature	10	10	36.104	35.248	2	583
Diabetes	6	 	8.889	8.484	1	26
Nature	10	10	36.104	35.248	2	668
Nature Cell Biology	6	6	19.407	19.578	2	151
The Journal of Neuroscience	8	 	7.271	8.068	1	10
The Journal of Clinical Investigation	8	 	14.152	16.641	1	264
American Journal of Human Genetics	8	 	11.68	12.265	1	84
Development	6	 	6.898	7.476	1	11
Journal of Molecular Endocrinology	6	10	3.628	3.25	2	96
The Behavioral and Brain Sciences	10	 	21.952	24.509	1	1081
Molecular Cell	6	8	14.194	14.447	2	113
The New England Journal of Medicine	6	 	53.486	52.363	1	457
Kidney International	6	 	6.105	5.51	1	46
Kidney International	6	 	6.105	5.51	1	163
Molecular Ecology	6	 	6.457	6.633	1	46
Genes &amp; Development	6	 	12.889	13.892	1	77
Nature	8	8	36.104	35.248	2	209
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	137
Science (New York)	6	 	31.377	31.777	1	121
Journal of the American Geriatrics Society	6	 	3.913	4.439	1	94
The British Journal of General Practice	8	 	2.07	2.664	1	36
Current Biology	6	 	10.026	11.436	1	110
Biochemistry	6	 	3.226	3.15	1	3
Nature Cell Biology	8	8	19.407	19.578	2	349
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	72
Nature Cell Biology	8	6	19.407	19.578	2	627
Nature Cell Biology	8	 	19.407	19.578	1	200
Nature Neuroscience	8	 	14.191	16.19	1	106
Chemical Research in Toxicology	8	 	4.148	3.666	1	13
The Journal of Experimental Medicine	6	6	14.776	15.7	2	70
Environmental Science &amp; Technology	6	 	4.827	5.398	1	55
AIDS Research and Human Retroviruses	8	 	2.082	2.046	1	65
Animal behaviour	6	 	3.101	3.402	1	55
Chemistry &amp; Biology	8	 	5.838	5.976	1	83
Chemistry &amp; Biology	8	 	5.838	5.976	1	66
Nature Reviews. Genetics	6	 	32.745	28.993	1	332
Journal of Bacteriology	8	 	3.726	3.818	1	40
Circulation	8	 	14.432	14.932	1	476
PLoS Computational Biology	6	 	5.515	6.251	1	89
The Journal of Biological Chemistry	6	 	5.328	5.498	1	20
PLoS Biology	8	 	12.472	14.376	1	146
Genes &amp; Development	6	 	12.889	13.892	1	43
Development	10	6	6.898	7.476	2	49
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	81
The Journal of Neuroscience	6	 	7.271	8.068	1	29
The Journal of Neuroscience	8	 	7.271	8.068	1	39
Science (New York)	10	6	31.377	31.777	2	53
Proceedings of the National Academy of Sciences of the United States of America	10	8	9.771	10.591	2	18
Nature Medicine	8	6	25.43	27.887	2	283
Journal of Immunology	8	 	5.745	5.909	1	46
Neuron	6	 	14.027	14.927	1	77
Proceedings of the National Academy of Sciences of the United States of America	10	6	9.771	10.591	2	42
Science (New York)	8	6	31.377	31.777	2	390
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	2670
Mycologia	6	 	1.641	2.316	1	14
Current Biology	8	 	10.026	11.436	1	16
Journal of Epidemiology and Community Health	6	 	2.983	3.787	1	56
Applied and Environmental Microbiology	6	 	3.778	4.529	1	42
Applied and Environmental Microbiology	6	 	3.778	4.529	1	17
Cell	10	 	32.406	34.931	1	107
Agronomy journal	6	 	1.797	2.067	1	8
Nature	6	6	36.104	35.248	2	303
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	61
Molecular Biology of the Cell	6	 	5.861	5.949	1	15
Nature Methods	6	 	20.721	19.286	1	56
Genetics	6	 	4.087	4.311	1	20
Biochemistry	8	 	3.226	3.15	1	64
The European Journal of Neuroscience	6	 	3.658	3.812	1	51
Nature	8	 	36.104	35.248	1	423
Journal of the American Chemical Society	8	 	9.023	8.981	1	35
Circulation	6	 	14.432	14.932	1	81
Science (New York)	8	10	31.377	31.777	2	622
Molecular Cell	6	8	14.194	14.447	2	132
The Journal of Biological Chemistry	6	 	5.328	5.498	1	124
Science (New York)	8	10	31.377	31.777	2	108
The Journal of Biological Chemistry	6	 	5.328	5.498	1	20
Molecular Biology of the Cell	6	 	5.861	5.949	1	40
Journal of Neurochemistry	6	 	4.337	4.48	1	30
Neuron	6	 	14.027	14.927	1	77
Immunity	8	8	24.221	22.133	2	104
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	68
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	62
The International Journal of Developmental Biology	6	 	2.856	2.961	1	20
Journal of the American Chemical Society	6	6	9.023	8.981	2	92
Science (New York)	8	 	31.377	31.777	1	48
The Journal of Neuroscience	8	 	7.271	8.068	1	37
Cell	8	10	32.406	34.931	2	279
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	30
The Journal of Experimental Medicine	10	10	14.776	15.7	2	112
The Journal of Cell Biology	6	 	9.921	10.123	1	42
The Journal of Biological Chemistry	6	8	5.328	5.498	2	138
The Journal of Cell Biology	6	 	9.921	10.123	1	130
Neuron	8	 	14.027	14.927	1	46
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	14
Molecular Cell	6	 	14.194	14.447	1	22
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	39
The Journal of Nutrition	6	 	4.295	4.408	1	34
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	31
Nature	8	 	36.104	35.248	1	475
Molecular Cell	6	 	14.194	14.447	1	26
Molecular Biology of the Cell	8	8	5.861	5.949	2	87
Nature	8	6	36.104	35.248	2	225
Cell	8	10	32.406	34.931	2	129
Ecological monographs	6	 	5.938	8.827	1	52
International Journal of Psychophysiology	6	 	2.378	2.74	1	55
Cell	8	 	32.406	34.931	1	57
Microbiology	6	 	0.813	0.903	1	12
Cell	6	 	32.406	34.931	1	68
Ecology	6	 	5.073	6.218	1	21
Immunity	6	 	24.221	22.133	1	214
Nature	6	 	36.104	35.248	1	332
Journal of the American Chemical Society	6	 	9.023	8.981	1	30
Nature	8	6	36.104	35.248	2	155
Neuropharmacology	6	 	4.677	3.901	1	29
Nature Methods	6	 	20.721	19.286	1	60
Nature	8	6	36.104	35.248	2	197
Cell	6	 	32.406	34.931	1	177
The Journal of Neuroscience	6	 	7.271	8.068	1	147
Cell	10	8	32.406	34.931	2	380
Hypertension	8	 	6.908	6.949	1	63
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	117
The EMBO Journal	8	 	10.124	9.369	1	35
Molecular and Cellular Biology	8	 	6.188	6.381	1	34
Blood	6	6	10.558	10.075	2	89
Environmental Entomology	8	 	1.534	1.702	1	75
Science (New York)	6	6	31.377	31.777	2	210
Anesthesiology	6	6	5.486	5.264	2	22
Clinical Neuropathology	6	 	1.067	1.125	1	8
Journal of Molecular Biology	6	 	4.008	4.095	1	16
Journal of Molecular Biology	8	 	4.008	4.095	1	18
Journal of Molecular and Cellular Cardiology	6	 	5.499	5.376	1	37
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	143
Immunity	8	 	24.221	22.133	1	526
Neuron	8	 	14.027	14.927	1	116
The Journal of Neuroscience	8	 	7.271	8.068	1	36
Gastroenterology	6	 	12.032	12.403	1	30
The FASEB Journal	8	 	6.515	7.201	1	231
Fertility and Sterility	6	 	3.958	4.203	1	16
Molecular Cell	6	6	14.194	14.447	2	169
Circulation	6	 	14.432	14.932	1	65
Current Biology	6	 	10.026	11.436	1	76
Nucleic Acids Research	6	 	7.836	7.314	1	26
Science (New York)	8	6	31.377	31.777	2	108
Nature	6	 	36.104	35.248	1	64
The Journal of Cell Biology	8	6	9.921	10.123	2	148
Cancer Research	6	 	8.234	8.438	1	115
Nature Medicine	6	 	25.43	27.887	1	116
Journal of Immunology	6	 	5.745	5.909	1	72
Nature Medicine	6	6	25.43	27.887	2	174
Cell	8	8	32.406	34.931	2	202
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	136
Science (New York)	6	 	31.377	31.777	1	167
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	48
The EMBO Journal	10	 	10.124	9.369	1	50
Current Biology	6	 	10.026	11.436	1	17
Science (New York)	10	8	31.377	31.777	2	538
The Journal of Neuroscience	8	 	7.271	8.068	1	62
Nature Methods	8	 	20.721	19.286	1	30
The Plant Cell	8	 	9.396	10.648	1	127
Nature Structural &amp; Molecular Biology	6	 	13.685	12.481	1	32
The EMBO Journal	6	 	10.124	9.369	1	122
The Journal of Experimental Medicine	6	8	14.776	15.7	2	47
Marine ecology progress series	6	 	2.483	2.993	1	66
Biology Letters	6	 	3.651	3.821	1	24
The Journal of Biological Chemistry	6	 	5.328	5.498	1	26
BMC Plant Biology	6	 	4.085	4.324	1	14
"Plant, Cell &amp; Environment"	6	 	5.145	5.618	1	24
Cell	8	6	32.406	34.931	2	66
Lancet	6	 	33.633	32.498	1	7
The Journal of Biological Chemistry	6	8	5.328	5.498	2	23
Nature	6	8	36.104	35.248	2	102
Nature Immunology	8	6	25.668	25.934	2	581
Science (New York)	10	8	31.377	31.777	2	99
Science (New York)	8	 	31.377	31.777	1	157
Antimicrobial Agents and Chemotherapy	6	 	4.672	4.68	1	24
European Journal of Clinical Microbiology &amp; Infectious Diseases	6	 	2.631	2.655	1	7
Chemistry &amp; Biology	6	 	5.838	5.976	1	72
Nature	10	6	36.104	35.248	2	270
Genes &amp; Development	6	8	12.889	13.892	2	101
The Journal of Biological Chemistry	6	6	5.328	5.498	2	29
Journal of the American Chemical Society	6	 	9.023	8.981	1	70
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	106
Developmental Cell	6	8	13.946	14.24	2	102
European Journal of Cell Biology	6	 	3.63	3.506	1	14
The EMBO Journal	6	 	10.124	9.369	1	26
Pediatric Neurosurgery	6	 	0.789	1.031	1	13
Pain	6	 	5.355	6.306	1	71
Pain	6	 	5.355	6.306	1	14
Science (New York)	8	 	31.377	31.777	1	50
Biochemical and Biophysical Research Communications	6	 	2.595	2.72	1	3
Science (New York)	6	 	31.377	31.777	1	107
Journal of the American College of Cardiology	8	 	14.293	13.091	1	237
Cell	6	8	32.406	34.931	2	115
Nature Genetics	8	6	36.377	32.701	2	110
Immunity	6	 	24.221	22.133	1	27
Developmental Cell	8	 	13.946	14.24	1	59
Science (New York)	6	 	31.377	31.777	1	141
Molecular Cell	6	 	14.194	14.447	1	89
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	96
Nature Genetics	8	 	36.377	32.701	1	27
Nature	8	8	36.104	35.248	2	48
Journal of Immunology	6	6	5.745	5.909	2	63
Diabetes Care	6	 	7.141	7.285	1	28
The Journal of Experimental Medicine	8	 	14.776	15.7	1	92
Nature Genetics	6	 	36.377	32.701	1	66
