Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
SENIOR,9,8,Main Library,April,2014,2010
ADULT,59,2,Ortega,July,2015,2014
JUVENILE,26,1,Mission,July,2016,2016
YOUNG ADULT,749,44,Anza,September,2013,2006
ADULT,203,129,Main Library,February,2011,2003
YOUNG ADULT,1,0,Mission,September,2015,2013
YOUNG ADULT,0,0,Main Library,None,None,2014
ADULT,3538,1319,Richmond,July,2016,2003
JUVENILE,20,0,Chinatown,December,2013,2009
ADULT,25,0,Presidio,November,2013,2009
JUVENILE,50,0,Glen Park,February,2015,2014
ADULT,28,19,Richmond,July,2013,2009
ADULT,3,0,Main Library,January,2016,2015
TEACHER CARD,42,27,Eureka Valley/Harvey Milk Memorial,June,2016,2015
ADULT,8,9,Potrero,July,2016,2016
SENIOR,12,6,Marina,July,2016,2015
ADULT,63,30,Sunset,February,2015,2007
ADULT,20,0,Chinatown,May,2014,2003
ADULT,0,0,Main Library,None,None,2014
YOUNG ADULT,10,0,Main Library,July,2013,2009
YOUNG ADULT,20,0,Ingleside,December,2015,2014
WELCOME,3,0,Main Library,July,2015,2015
ADULT,11,9,Main Library,July,2013,2011
ADULT,4,4,Western Addition,August,2014,2009
SENIOR,274,427,Eureka Valley/Harvey Milk Memorial,September,2013,2003
JUVENILE,131,5,Glen Park,July,2016,2012
WELCOME,1,0,Main Library,November,2014,2014
ADULT,2,3,Main Library,March,2012,2008
ADULT,69,5,Main Library,February,2014,2010
JUVENILE,285,59,Richmond,July,2016,2009
ADULT,61,82,Richmond,April,2015,2003
ADULT,48,86,Ortega,July,2016,2013
JUVENILE,58,2,Parkside,March,2016,2012
ADULT,3853,113,Mission Bay,July,2016,2004
DIGITAL ACCESS CARD,0,0,Park,None,None,2015
ADULT,166,1,Parkside,October,2015,2015
ADULT,50,6,Eureka Valley/Harvey Milk Memorial,July,2016,2016
YOUNG ADULT,2,0,Mission,June,2014,2011
WELCOME,3,0,Marina,January,2014,2013
ADULT,18,55,Main Library,September,2014,2013
JUVENILE,22,0,Main Library,July,2014,2010
ADULT,51,24,Ortega,July,2013,2003
JUVENILE,268,10,Mission,April,2016,2010
JUVENILE,0,0,Chinatown,None,None,2014
ADULT,1519,183,Glen Park,May,2016,2003
ADULT,0,0,Richmond,None,None,2016
ADULT,1,0,North Beach,March,2016,2015
ADULT,3,0,Ocean View,October,2014,2010
ADULT,8,0,Mission,May,2016,2016
SENIOR,1234,28,Sunset,June,2016,2003
ADULT,122,28,Potrero,July,2016,2015
ADULT,9,0,Main Library,July,2014,2013
ADULT,0,0,Main Library,None,None,2012
ADULT,0,0,Mission,None,None,2010
ADULT,12,0,Main Library,November,2012,2007
WELCOME,1,0,Main Library,October,2014,2011
ADULT,7,20,Main Library,May,2013,2006
ADULT,1976,841,West Portal,July,2016,2003
ADULT,7,31,Marina,November,2014,2012
ADULT,78,5,Chinatown,February,2016,2015
ADULT,2,0,Main Library,August,2013,2013
ADULT,35,4,Parkside,January,2016,2013
JUVENILE,9,4,West Portal,December,2014,2014
ADULT,1429,13,Ingleside,January,2016,2003
SENIOR,34,9,Main Library,July,2016,2006
JUVENILE,93,0,Excelsior,July,2016,2011
ADULT,13,12,Merced,May,2016,2014
ADULT,836,199,Chinatown,December,2015,2003
ADULT,806,494,Main Library,July,2016,2007
ADULT,1,3,Anza,October,2014,2014
ADULT,147,12,Chinatown,March,2016,2014
JUVENILE,629,6,Excelsior,July,2016,2008
JUVENILE,31,5,West Portal,May,2016,2014
SENIOR,12,12,Main Library,July,2013,2013
ADULT,8,6,Marina,October,2012,2011
YOUNG ADULT,2065,677,Portola,July,2016,2007
ADULT,2,0,Chinatown,February,2013,2013
YOUNG ADULT,725,438,Richmond,July,2016,2003
ADULT,180,0,Mission Bay,July,2016,2014
YOUNG ADULT,392,119,Anza,June,2016,2011
ADULT,161,151,Presidio,July,2016,2004
ADULT,210,341,Portola,March,2016,2003
ADULT,0,0,Main Library,None,None,2015
SENIOR,1155,6,Glen Park,May,2016,2003
ADULT,0,0,Mission,None,None,2015
ADULT,61,4,Main Library,June,2016,2007
ADULT,0,0,Main Library,None,None,2015
JUVENILE,21,12,Glen Park,July,2015,2014
ADULT,109,65,Visitacion Valley,November,2015,2011
JUVENILE,31,17,Anza,January,2016,2008
ADULT,49,24,Bernal Heights,March,2014,2009
YOUNG ADULT,218,144,Main Library,May,2016,2003
WELCOME,0,0,Main Library,None,None,2016
ADULT,21,14,Mission Bay,December,2014,2014
ADULT,31,30,Excelsior,June,2016,2015
JUVENILE,147,7,Eureka Valley/Harvey Milk Memorial,July,2016,2009
YOUNG ADULT,173,13,Ortega,July,2016,2008
ADULT,767,725,Visitacion Valley,April,2014,2003
ADULT,0,0,Main Library,None,None,2012
YOUNG ADULT,209,0,Main Library,April,2015,2011
ADULT,2,0,Mission Bay,July,2016,2015
SENIOR,671,227,Parkside,July,2016,2003
