Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,95,0,Bayview/Linda Brooks-Burton,July,2016,2015
SENIOR,33,10,Library on Wheels,July,2016,2015
JUVENILE,17,2,Marina,April,2016,2014
ADULT,0,0,Portola,None,None,2013
SENIOR,6,0,Visitacion Valley,March,2016,2015
WELCOME,0,0,Main Library,None,None,2016
ADULT,3,0,Mission Bay,May,2016,2014
ADULT,1470,124,Mission,February,2015,2004
ADULT,90,6,Excelsior,April,2016,2007
ADULT,346,682,Main Library,July,2016,2003
ADULT,0,0,Presidio,None,None,2016
YOUNG ADULT,3,0,Unknown,March,2014,2014
YOUNG ADULT,37,12,West Portal,March,2014,2012
ADULT,228,8,West Portal,August,2013,2004
JUVENILE,23,0,Excelsior,December,2014,2013
ADULT,0,0,Main Library,None,None,2016
ADULT,0,0,Main Library,None,None,2014
ADULT,131,264,Marina,February,2015,2005
ADULT,611,112,Main Library,July,2016,2003
JUVENILE,63,4,Bayview/Linda Brooks-Burton,March,2015,2010
JUVENILE,203,2,Anza,July,2016,2013
SENIOR,142,21,West Portal,March,2016,2003
ADULT,93,70,Marina,September,2013,2003
ADULT,83,8,West Portal,November,2015,2014
ADULT,954,805,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,21,31,Presidio,July,2016,2015
ADULT,63,25,Presidio,May,2016,2012
ADULT,11,0,Main Library,June,2014,2013
ADULT,4,3,Visitacion Valley,October,2014,2013
ADULT,171,347,Eureka Valley/Harvey Milk Memorial,November,2014,2006
TEACHER CARD,70,0,Visitacion Valley,July,2016,2016
ADULT,0,0,North Beach,None,None,2010
JUVENILE,152,0,Sunset,June,2016,2008
ADULT,0,0,Richmond,None,None,2015
JUVENILE,7,0,North Beach,July,2014,2013
JUVENILE,402,10,Glen Park,July,2016,2009
ADULT,25,0,Mission,June,2016,2015
JUVENILE,153,16,Mission,June,2016,2008
YOUNG ADULT,727,44,Ortega,July,2016,2010
ADULT,0,0,Mission,None,None,2015
JUVENILE,1331,12,Chinatown,July,2016,2010
ADULT,81,53,Chinatown,July,2016,2014
ADULT,255,114,Richmond,February,2016,2011
ADULT,61,70,Sunset,September,2015,2004
SENIOR,3,0,Main Library,May,2014,2009
ADULT,2384,643,Richmond,October,2014,2003
TEACHER CARD,3,0,Ortega,December,2014,2014
ADULT,3399,621,Mission,July,2016,2003
ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,Presidio,None,None,2013
ADULT,0,0,Sunset,None,None,2015
JUVENILE,70,21,Marina,December,2015,2014
SENIOR,99,5,West Portal,July,2016,2003
SENIOR,8,1,Main Library,May,2016,2016
JUVENILE,1,0,Marina,March,2013,2012
ADULT,227,37,Presidio,July,2016,2003
ADULT,28,28,Main Library,July,2016,2014
ADULT,154,28,Parkside,May,2015,2007
JUVENILE,1140,261,Visitacion Valley,July,2016,2011
ADULT,46,15,Marina,June,2014,2009
ADULT,10,6,Mission,March,2014,2009
ADULT,57,23,Ingleside,July,2016,2011
SENIOR,1243,2682,Marina,July,2016,2007
ADULT,16,0,Excelsior,December,2015,2005
JUVENILE,0,0,Presidio,None,None,2015
SPECIAL,15,2,Library on Wheels,August,2015,2014
YOUNG ADULT,120,31,Park,June,2016,2004
ADULT,210,245,Western Addition,August,2014,2010
ADULT,2,0,Mission Bay,September,2012,2012
SENIOR,39,4,Richmond,September,2013,2003
ADULT,26,37,Mission,February,2016,2012
ADULT,8,0,Main Library,September,2012,2012
ADULT,5,15,Main Library,June,2013,2013
SENIOR,0,0,Main Library,None,None,2011
ADULT,55,37,Bernal Heights,March,2014,2006
ADULT,51,65,Sunset,March,2014,2011
ADULT,2,0,Western Addition,August,2015,2015
YOUNG ADULT,33,0,Main Library,March,2014,2003
SENIOR,97,67,Anza,April,2016,2013
WELCOME,0,0,Main Library,None,None,2015
ADULT,27,7,Main Library,August,2015,2010
JUVENILE,2,0,Excelsior,June,2016,2015
ADULT,4,1,Main Library,June,2015,2009
ADULT,16,3,Glen Park,May,2015,2008
JUVENILE,5,0,Golden Gate Valley,March,2015,2014
JUVENILE,47,0,Main Library,April,2016,2015
JUVENILE,31,20,Visitacion Valley,June,2014,2012
WELCOME,0,0,Main Library,None,None,2014
SENIOR,38,26,Main Library,November,2015,2007
ADULT,2,2,Bernal Heights,May,2016,2016
ADULT,132,58,Main Library,December,2015,2007
WELCOME,0,0,Main Library,None,None,2015
ADULT,84,39,Anza,February,2016,2003
ADULT,299,79,Eureka Valley/Harvey Milk Memorial,June,2016,2003
ADULT,0,0,Glen Park,November,2014,2014
ADULT,2,0,Main Library,March,2016,2016
ADULT,10,16,Main Library,November,2014,2014
JUVENILE,35,0,Richmond,April,2014,2013
YOUNG ADULT,3,0,Bayview/Linda Brooks-Burton,June,2015,2014
ADULT,383,40,Main Library,October,2015,2003
ADULT,7,5,Main Library,July,2013,2009
ADULT,0,0,Main Library,None,None,2013
ADULT,353,61,Noe Valley/Sally Brunn,May,2016,2011
ADULT,19,2,Portola,November,2014,2009
ADULT,0,0,Mission Bay,None,None,2015
ADULT,13,1,Park,May,2015,2014
WELCOME,0,0,Bernal Heights,October,2014,2014
JUVENILE,390,9,Main Library,May,2016,2014
ADULT,0,0,Main Library,None,None,2014
SENIOR,628,28,Presidio,July,2016,2003
ADULT,0,0,Portola,None,None,2011
ADULT,8,0,Main Library,July,2016,2010
JUVENILE,14,0,Bernal Heights,December,2015,2012
ADULT,12,0,Golden Gate Valley,December,2014,2004
ADULT,0,0,Main Library,None,None,2015
JUVENILE,299,2,Ortega,June,2016,2010
JUVENILE,708,22,Chinatown,July,2016,2008
SENIOR,49,3,Main Library,April,2015,2003
JUVENILE,496,0,Chinatown,July,2016,2012
YOUNG ADULT,153,9,Ortega,January,2015,2007
ADULT,18,1,Bernal Heights,June,2016,2015
ADULT,1,0,Ingleside,August,2015,2015
ADULT,8,0,Main Library,May,2009,2005
ADULT,8,2,Western Addition,November,2014,2014
ADULT,88,94,Ortega,July,2013,2003
ADULT,0,0,Main Library,None,None,2013
JUVENILE,62,19,Anza,December,2015,2009
ADULT,0,0,Main Library,None,None,2016
SENIOR,4,0,West Portal,December,2014,2011
YOUNG ADULT,36,5,Richmond,April,2014,2006
ADULT,0,0,Richmond,None,None,2012
ADULT,12,11,Golden Gate Valley,May,2015,2014
ADULT,0,0,Main Library,None,None,2015
JUVENILE,7,0,Anza,June,2016,2016
WELCOME,0,0,Main Library,None,None,2015
ADULT,2,0,Main Library,October,2009,2009
ADULT,1,0,Western Addition,January,2015,2014
ADULT,94,43,Ortega,July,2014,2003
ADULT,27,16,Main Library,December,2015,2015
ADULT,2,1,North Beach,October,2015,2015
ADULT,5,1,West Portal,July,2010,2009
ADULT,0,0,Mission,None,None,2015
SENIOR,219,338,North Beach,December,2015,2007
JUVENILE,106,0,Ocean View,December,2015,2011
JUVENILE,1,0,Main Library,June,2016,2016
ADULT,0,0,Mission,None,None,2009
ADULT,12,12,Chinatown,October,2013,2012
JUVENILE,260,3,Presidio,February,2014,2009
ADULT,99,26,Ocean View,June,2014,2003
ADULT,16,0,Merced,September,2015,2015
JUVENILE,49,1,North Beach,July,2016,2014
ADULT,1,0,North Beach,August,2012,2012
JUVENILE,13,0,Mission,July,2015,2007
SENIOR,3655,546,Eureka Valley/Harvey Milk Memorial,July,2016,2007
ADULT,0,0,Mission Bay,None,None,2013
JUVENILE,45,10,Western Addition,October,2015,2008
JUVENILE,686,9,West Portal,December,2015,2007
SENIOR,0,0,Main Library,None,None,2014
SENIOR,76,7,West Portal,July,2016,2003
ADULT,0,0,Marina,None,None,2015
JUVENILE,22,3,Chinatown,April,2016,2015
ADULT,353,32,West Portal,May,2014,2010
SENIOR,40,0,Merced,July,2016,2003
ADULT,14,2,Golden Gate Valley,December,2015,2011
WELCOME,0,0,Main Library,None,None,2015
WELCOME,2,3,Mission,September,2014,2014
ADULT,23,24,Sunset,October,2015,2011
ADULT,4,3,Chinatown,July,2016,2016
ADULT,87,52,West Portal,May,2014,2003
ADULT,408,317,Main Library,July,2016,2003
SENIOR,36,0,Excelsior,February,2016,2003
JUVENILE,509,1,Excelsior,July,2016,2013
JUVENILE,27,0,Portola,February,2015,2013
YOUNG ADULT,1,3,Ortega,March,2014,2013
ADULT,58,43,Main Library,June,2015,2009
ADULT,3,6,Main Library,March,2015,2015
YOUNG ADULT,277,49,Bernal Heights,July,2016,2009
JUVENILE,131,4,Main Library,October,2013,2011
ADULT,1,0,Main Library,June,2013,2012
YOUNG ADULT,0,0,Unknown,None,None,2014
ADULT,5,10,Main Library,October,2013,2011
JUVENILE,113,46,Marina,June,2016,2009
SENIOR,8,3,North Beach,December,2013,2005
ADULT,25,16,Marina,June,2015,2015
ADULT,404,146,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,44,39,Main Library,July,2013,2008
ADULT,9,0,Mission,August,2013,2012
JUVENILE,32,19,Mission,June,2014,2012
YOUNG ADULT,19,0,Main Library,August,2014,2009
ADULT,12,0,Main Library,April,2015,2014
ADULT,0,0,Mission,None,None,2016
ADULT,878,59,Chinatown,July,2016,2003
JUVENILE,133,61,Main Library,July,2016,2012
JUVENILE,1226,52,Anza,July,2015,2012
ADULT,3,9,Ingleside,June,2016,2015
ADULT,0,0,Portola,None,None,2015
ADULT,178,224,Main Library,January,2015,2009
ADULT,179,37,Richmond,June,2016,2004
ADULT,0,0,Richmond,None,None,2016
ADULT,45,12,Main Library,July,2016,2003
JUVENILE,47,0,Merced,November,2015,2014
ADULT,174,125,Main Library,December,2012,2003
JUVENILE,0,0,Bayview/Linda Brooks-Burton,None,None,2013
ADULT,10,0,Ingleside,December,2015,2015
ADULT,0,0,Marina,None,None,2015
YOUNG ADULT,14,0,Golden Gate Valley,February,2015,2012
ADULT,5,10,Ingleside,March,2014,2013
JUVENILE,136,27,Park,November,2013,2008
YOUNG ADULT,77,0,Mission,March,2015,2008
ADULT,72,160,Main Library,January,2016,2009
ADULT,946,8,Excelsior,June,2016,2012
ADULT,13,0,North Beach,September,2013,2013
SENIOR,0,0,Main Library,June,2005,2003
SENIOR,19,11,Richmond,June,2016,2016
ADULT,62,4,Mission,January,2016,2011
ADULT,0,0,Chinatown,None,None,2016
ADULT,1,0,Sunset,May,2015,2015
YOUNG ADULT,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2013
ADULT,24,1,Western Addition,March,2016,2012
ADULT,3,0,Main Library,April,2016,2016
ADULT,6,15,Richmond,June,2015,2013
ADULT,0,0,Mission,None,None,2014
YOUNG ADULT,748,53,Richmond,December,2013,2008
ADULT,139,50,Excelsior,June,2016,2008
ADULT,6,0,Visitacion Valley,August,2012,2008
ADULT,15,38,Main Library,November,2010,2006
SENIOR,39,0,Presidio,December,2015,2006
ADULT,38,54,Richmond,September,2015,2011
ADULT,17,3,Noe Valley/Sally Brunn,July,2016,2013
ADULT,3,7,Potrero,September,2015,2015
ADULT,68,67,Visitacion Valley,July,2016,2010
ADULT,13,25,Mission,April,2016,2015
ADULT,151,17,Noe Valley/Sally Brunn,June,2016,2010
ADULT,196,4,Visitacion Valley,February,2015,2006
SENIOR,88,80,Main Library,May,2015,2003
JUVENILE,1449,260,Excelsior,July,2016,2008
ADULT,56,0,Park,March,2015,2014
JUVENILE,155,1,Main Library,June,2016,2014
ADULT,49,43,North Beach,February,2016,2009
DIGITAL ACCESS CARD,0,0,Glen Park,None,None,2015
ADULT,223,434,Noe Valley/Sally Brunn,July,2016,2011
JUVENILE,0,0,Bayview/Linda Brooks-Burton,None,None,2013
ADULT,188,10,Sunset,June,2016,2009
ADULT,843,328,Main Library,October,2014,2005
SENIOR,67,1,Western Addition,December,2014,2014
WELCOME,1,0,Ingleside,February,2014,2013
ADULT,2,0,Richmond,September,2015,2015
ADULT,31,0,Excelsior,January,2015,2013
SENIOR,0,0,Main Library,None,None,2014
ADULT,3,5,Main Library,May,2015,2015
ADULT,42,21,West Portal,January,2016,2005
ADULT,21,9,Main Library,January,2015,2014
ADULT,13,0,Mission,January,2015,2014
JUVENILE,1,0,Mission,May,2015,2015
ADULT,19,32,Merced,May,2013,2006
ADULT,4,0,Portola,February,2015,2013
ADULT,12,9,Ortega,October,2015,2010
JUVENILE,74,1,North Beach,July,2016,2015
ADULT,0,0,Anza,None,None,2015
ADULT,0,0,Marina,November,2015,2015
ADULT,48,4,Main Library,February,2016,2005
ADULT,132,20,Bernal Heights,July,2016,2010
SENIOR,64,5,North Beach,July,2016,2003
TEACHER CARD,254,158,Ortega,May,2016,2014
JUVENILE,163,63,Parkside,July,2016,2014
ADULT,3,0,Main Library,April,2016,2015
SENIOR,40,25,Noe Valley/Sally Brunn,March,2016,2003
ADULT,0,0,Main Library,None,None,2013
ADULT,26,0,Mission Bay,January,2016,2015
JUVENILE,39,25,Mission Bay,July,2016,2014
YOUNG ADULT,437,37,Sunset,March,2015,2007
ADULT,8,0,North Beach,July,2014,2014
YOUNG ADULT,0,0,Main Library,None,None,2016
ADULT,24,5,Ingleside,September,2015,2014
ADULT,4,8,Bayview/Linda Brooks-Burton,November,2012,2009
ADULT,309,326,Western Addition,July,2016,2003
JUVENILE,3,0,Richmond,August,2014,2012
ADULT,0,0,Mission Bay,None,None,2015
ADULT,104,88,Richmond,July,2016,2009
JUVENILE,6,0,Mission,September,2015,2014
ADULT,18,0,North Beach,February,2015,2013
JUVENILE,21,0,Chinatown,August,2014,2013
SENIOR,0,0,Main Library,None,None,2013
ADULT,30,56,Anza,August,2015,2007
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,124,81,Golden Gate Valley,July,2016,2009
ADULT,16,0,Eureka Valley/Harvey Milk Memorial,April,2013,2009
YOUNG ADULT,2,0,Merced,June,2015,2015
ADULT,51,7,Mission,February,2015,2013
WELCOME,0,0,Main Library,None,None,2013
ADULT,0,0,Main Library,None,None,2012
SENIOR,157,104,Presidio,June,2013,2008
ADULT,144,4,Merced,August,2014,2003
WELCOME,1,0,Main Library,September,2015,2015
SENIOR,0,0,Main Library,None,None,2016
ADULT,20,11,Eureka Valley/Harvey Milk Memorial,July,2014,2013
ADULT,517,175,Main Library,August,2014,2003
ADULT,26,33,West Portal,February,2016,2003
SENIOR,53,0,Portola,July,2012,2003
SENIOR,71,67,Main Library,June,2016,2003
ADULT,300,678,Main Library,June,2016,2007
ADULT,18,18,Main Library,February,2011,2004
JUVENILE,29,0,Bernal Heights,August,2014,2010
ADULT,158,8,Mission,January,2014,2003
ADULT,6,0,North Beach,February,2015,2013
ADULT,241,149,Eureka Valley/Harvey Milk Memorial,June,2016,2003
ADULT,38,14,Mission Bay,March,2013,2011
ADULT,88,49,Richmond,December,2012,2003
WELCOME,2,0,Main Library,August,2015,2015
ADULT,10,2,North Beach,December,2014,2010
ADULT,0,0,Main Library,None,None,2015
JUVENILE,94,115,West Portal,December,2014,2011
ADULT,11,6,Bernal Heights,July,2016,2015
ADULT,2342,1,Portola,December,2015,2003
ADULT,40,4,Ortega,July,2016,2003
ADULT,344,280,Portola,June,2016,2003
ADULT,123,96,Main Library,January,2014,2009
ADULT,0,0,Main Library,None,None,2016
YOUNG ADULT,2,0,Noe Valley/Sally Brunn,December,2013,2012
ADULT,112,4,Main Library,April,2016,2008
ADULT,4,1,Glen Park,July,2015,2013
ADULT,5193,2212,Sunset,July,2016,2004
ADULT,0,0,Main Library,None,None,2013
JUVENILE,445,82,Ingleside,July,2016,2014
ADULT,10,0,Main Library,May,2014,2013
SENIOR,106,27,Main Library,February,2016,2011
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2014
WELCOME,4,3,North Beach,October,2013,2012
JUVENILE,2008,335,Glen Park,July,2016,2011
ADULT,8,0,Merced,July,2014,2014
ADULT,15,16,Main Library,April,2016,2016
ADULT,11,1,Mission,August,2013,2003
ADULT,20,32,Main Library,January,2013,2008
ADULT,51,25,Main Library,January,2014,2006
YOUNG ADULT,75,10,Eureka Valley/Harvey Milk Memorial,September,2014,2006
YOUNG ADULT,0,0,Main Library,None,None,2015
ADULT,94,29,Main Library,February,2014,2012
SENIOR,26,25,Merced,February,2014,2003
ADULT,42,6,Main Library,April,2009,2004
YOUNG ADULT,7,0,Main Library,December,2012,2012
SENIOR,1284,82,Richmond,July,2016,2003
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2014
JUVENILE,16,3,Mission,November,2013,2011
ADULT,0,0,Main Library,None,None,2013
ADULT,277,228,Ortega,April,2015,2011
ADULT,3,1,Merced,August,2015,2014
ADULT,522,47,West Portal,May,2016,2010
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,Ingleside,None,None,2015
WELCOME,0,0,Main Library,None,None,2016
ADULT,16,1,Parkside,May,2014,2003
ADULT,13,0,Excelsior,April,2015,2012
ADULT,0,0,Main Library,None,None,2015
JUVENILE,248,370,West Portal,July,2016,2012
ADULT,4,12,Main Library,November,2013,2011
JUVENILE,0,0,North Beach,None,None,2014
ADULT,15,15,Main Library,February,2016,2003
ADULT,266,154,Potrero,July,2016,2003
ADULT,215,98,Richmond,July,2016,2009
ADULT,7,8,West Portal,April,2016,2010
ADULT,43,11,West Portal,January,2015,2008
ADULT,5,2,Excelsior,August,2013,2009
ADULT,65,22,Visitacion Valley,January,2014,2005
ADULT,18,8,Main Library,November,2015,2010
JUVENILE,605,32,Portola,April,2015,2011
SENIOR,627,310,Noe Valley/Sally Brunn,July,2016,2011
ADULT,192,328,Mission,July,2015,2003
ADULT,6,0,Noe Valley/Sally Brunn,July,2016,2016
YOUNG ADULT,454,23,Excelsior,August,2015,2005
ADULT,20,12,Eureka Valley/Harvey Milk Memorial,July,2016,2013
ADULT,0,0,Glen Park,None,None,2014
SENIOR,2,0,Richmond,July,2015,2015
ADULT,1945,969,West Portal,July,2016,2003
JUVENILE,127,54,Glen Park,June,2016,2011
ADULT,349,218,Mission Bay,July,2016,2005
JUVENILE,439,206,Ingleside,July,2015,2013
ADULT,15,11,Richmond,July,2016,2007
ADULT,20,18,Mission,February,2016,2011
ADULT,225,155,Mission Bay,July,2016,2006
JUVENILE,6,3,Main Library,May,2015,2014
ADULT,1,0,Richmond,February,2012,2011
SENIOR,1037,319,Mission,December,2014,2006
ADULT,15,0,Golden Gate Valley,September,2015,2013
SENIOR,38,3,Bayview/Linda Brooks-Burton,August,2015,2009
ADULT,93,42,Eureka Valley/Harvey Milk Memorial,May,2014,2007
WELCOME,1,0,Main Library,April,2014,2014
ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Presidio,None,None,2016
YOUNG ADULT,207,51,Noe Valley/Sally Brunn,July,2016,2005
ADULT,0,0,Eureka Valley/Harvey Milk Memorial,None,None,2014
ADULT,27,0,Ortega,October,2013,2012
JUVENILE,2,1,West Portal,July,2016,2012
ADULT,41,24,Main Library,July,2016,2015
ADULT,15,0,Bernal Heights,September,2014,2014
ADULT,0,0,Main Library,None,None,2015
WELCOME,0,0,Main Library,None,None,2015
JUVENILE,72,0,Ocean View,October,2014,2014
ADULT,411,27,Main Library,July,2016,2003
ADULT,7,27,Marina,October,2014,2014
ADULT,41,4,Excelsior,November,2013,2010
YOUNG ADULT,479,182,Mission,August,2015,2005
JUVENILE,648,171,Anza,May,2016,2012
ADULT,5,0,Bayview/Linda Brooks-Burton,May,2013,2013
ADULT,71,56,Richmond,July,2015,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,15,1,Park,January,2015,2007
JUVENILE,89,1,Chinatown,July,2014,2013
ADULT,18,28,Main Library,January,2015,2010
ADULT,14,4,Mission Bay,November,2015,2008
ADULT,49,3,Ortega,August,2014,2012
ADULT,0,0,Main Library,None,None,2012
ADULT,2,0,Ortega,March,2016,2016
SENIOR,1913,0,Main Library,July,2016,2010
ADULT,43,0,Glen Park,October,2015,2013
SENIOR,31,10,Golden Gate Valley,May,2016,2008
ADULT,2,0,Main Library,April,2013,2013
ADULT,1707,3291,Presidio,September,2015,2003
ADULT,203,41,North Beach,July,2016,2007
ADULT,4725,380,Chinatown,July,2016,2003
SENIOR,1139,566,West Portal,July,2016,2003
ADULT,0,0,Excelsior,None,None,2012
ADULT,220,51,Main Library,January,2016,2003
SENIOR,1761,128,Richmond,March,2016,2003
ADULT,6,0,Ocean View,March,2014,2010
ADULT,55,48,Mission,December,2014,2003
ADULT,88,23,Park,July,2010,2004
JUVENILE,338,34,Western Addition,June,2016,2010
ADULT,0,0,Ingleside,None,None,2014
ADULT,0,0,Ingleside,None,None,2014
ADULT,6,3,Main Library,March,2014,2012
ADULT,35,24,Main Library,July,2016,2003
YOUNG ADULT,27,1,Excelsior,August,2015,2015
SENIOR,12,2,Visitacion Valley,February,2015,2008
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2014
ADULT,6,11,Main Library,June,2014,2014
YOUNG ADULT,63,1,Richmond,April,2013,2003
SENIOR,2,5,Main Library,November,2012,2008
ADULT,6,0,Chinatown,March,2014,2007
SENIOR,0,0,Main Library,None,None,2016
ADULT,8,5,Potrero,April,2014,2012
ADULT,486,105,North Beach,May,2016,2003
SENIOR,0,0,West Portal,None,None,2013
ADULT,26,21,Sunset,January,2016,2010
ADULT,6,0,Glen Park,December,2004,2003
JUVENILE,17,0,Main Library,August,2014,2014
JUVENILE,5,4,Mission,July,2016,2012
ADULT,0,0,Portola,None,None,2014
ADULT,398,389,North Beach,September,2014,2003
WELCOME,2,0,Park,April,2015,2015
ADULT,0,0,Portola,None,None,2015
ADULT,45,28,Main Library,February,2016,2011
ADULT,0,0,Main Library,None,None,2015
ADULT,1003,530,Glen Park,July,2016,2003
YOUNG ADULT,82,14,Mission,October,2013,2007
ADULT,324,894,Main Library,May,2014,2003
ADULT,0,0,Main Library,February,2012,2011
ADULT,3,0,Main Library,June,2015,2015
ADULT,24,20,Excelsior,July,2016,2016
ADULT,27,0,Mission Bay,January,2016,2014
ADULT,18,10,Noe Valley/Sally Brunn,October,2014,2004
JUVENILE,12,0,Bayview/Linda Brooks-Burton,October,2014,2014
YOUNG ADULT,221,8,Anza,May,2016,2006
YOUNG ADULT,121,1,Glen Park,July,2014,2009
ADULT,672,40,Anza,June,2016,2011
JUVENILE,481,148,Sunset,June,2016,2007
ADULT,0,0,Main Library,None,None,2014
ADULT,173,56,Sunset,May,2016,2003
ADULT,0,0,Marina,None,None,2015
ADULT,27,3,Main Library,October,2015,2015
ADULT,106,34,Chinatown,August,2015,2011
ADULT,24,0,Main Library,December,2014,2003
ADULT,23,16,Main Library,January,2013,2012
ADULT,39,0,Main Library,July,2016,2016
ADULT,557,248,Main Library,July,2016,2003
WELCOME,0,0,Golden Gate Valley,None,None,2015
ADULT,3,0,Main Library,July,2016,2016
ADULT,59,25,Main Library,May,2016,2014
ADULT,34,0,Main Library,August,2014,2009
ADULT,7,6,Mission,November,2013,2013
ADULT,2,0,Richmond,September,2015,2011
ADULT,1,0,Eureka Valley/Harvey Milk Memorial,October,2013,2013
JUVENILE,24,0,Richmond,October,2015,2012
ADULT,68,46,Presidio,July,2016,2011
ADULT,10,2,Richmond,January,2016,2011
ADULT,532,121,Ocean View,July,2016,2003
YOUNG ADULT,0,0,Main Library,November,2012,2012
SENIOR,975,678,Main Library,July,2016,2003
YOUNG ADULT,3,2,Parkside,June,2013,2013
JUVENILE,0,0,Bernal Heights,None,None,2015
SENIOR,447,483,Main Library,October,2015,2003
ADULT,13,0,Mission,October,2009,2003
ADULT,1736,632,Sunset,July,2016,2003
ADULT,726,477,Main Library,July,2016,2003
ADULT,0,0,Main Library,None,None,2015
JUVENILE,12,0,Portola,January,2016,2012
JUVENILE,468,490,West Portal,July,2016,2009
ADULT,4,1,Presidio,August,2013,2013
ADULT,173,5,Parkside,September,2015,2011
ADULT,1,2,Marina,December,2015,2014
ADULT,131,23,Main Library,May,2016,2003
ADULT,0,0,Richmond,None,None,2015
ADULT,2202,258,Richmond,September,2015,2003
SENIOR,0,0,Sunset,None,None,2015
ADULT,6,6,Bernal Heights,February,2014,2006
ADULT,70,16,Sunset,October,2015,2003
ADULT,40,11,Richmond,September,2015,2006
ADULT,159,32,Ortega,May,2015,2003
ADULT,56,0,Richmond,November,2014,2009
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2015
JUVENILE,53,0,Bernal Heights,July,2015,2013
VISITOR,42,0,Excelsior,April,2014,2013
ADULT,85,156,Golden Gate Valley,March,2015,2013
ADULT,220,389,Sunset,July,2012,2003
ADULT,0,0,Noe Valley/Sally Brunn,None,None,2016
ADULT,4,0,North Beach,August,2015,2015
ADULT,45,19,Main Library,January,2016,2008
ADULT,52,6,West Portal,October,2013,2003
